tag id,prediction,confidence,actual,correct
122921383,Positive,0.78,positive,True
122921385,Negative,0.635,negative,True
122921385,Negative,0.645,negative,True
122921385,Negative,0.639,negative,True
122921385,Negative,0.523,negative,True
122921385,Negative,0.51,negative,True
122921383,Positive,0.909,positive,True
122921385,Negative,0.834,negative,True
122921384,Neutral,0.622,negative,False
122921383,Positive,0.513,neutral,False
122921385,Negative,0.656,negative,True
122921383,Positive,0.499,negative,False
122921384,Neutral,0.84,negative,False
122921383,Positive,0.512,positive,True
122921384,Neutral,0.635,negative,False
122921384,Neutral,0.571,negative,False
122921385,Negative,0.683,negative,True
122921384,Neutral,0.88,negative,False
122921385,Negative,0.803,negative,True
122921384,Neutral,0.559,neutral,True
122921383,Positive,0.553,positive,True
122921384,Neutral,0.617,neutral,True
122921384,Neutral,0.886,neutral,True
122921384,Neutral,0.622,negative,False
122921383,Positive,0.939,positive,True
122921385,Negative,0.502,negative,True
122921384,Neutral,0.693,positive,False
122921384,Neutral,0.77,neutral,True
122921384,Neutral,0.919,neutral,True
122921385,Negative,0.77,negative,True
122921384,Neutral,0.453,positive,False
122921383,Positive,0.611,negative,False
122921383,Positive,0.932,negative,False
122921384,Neutral,0.556,neutral,True
122921383,Positive,0.458,positive,True
122921385,Negative,0.681,negative,True
122921385,Negative,0.884,negative,True
122921384,Neutral,0.474,negative,False
122921385,Negative,0.883,negative,True
122921384,Neutral,0.634,neutral,True
122921385,Negative,0.926,negative,True
122921385,Negative,0.655,negative,True
122921385,Negative,0.529,negative,True
122921384,Neutral,0.491,neutral,True
122921383,Positive,0.534,negative,False
122921385,Negative,0.982,negative,True
122921385,Negative,0.825,negative,True
122921384,Neutral,0.577,negative,False
122921385,Negative,0.557,negative,True
122921384,Neutral,0.697,neutral,True
122921385,Negative,0.894,negative,True
122921384,Neutral,0.479,negative,False
122921385,Negative,0.969,negative,True
122921385,Negative,0.965,negative,True
122921384,Neutral,0.751,negative,False
122921385,Negative,0.93,negative,True
122921385,Negative,0.89,negative,True
122921384,Neutral,0.509,negative,False
122921385,Negative,0.984,negative,True
122921385,Negative,0.949,negative,True
122921385,Negative,0.476,negative,True
122921385,Negative,0.733,negative,True
122921384,Neutral,0.822,neutral,True
122921384,Neutral,0.6,negative,False
122921385,Negative,0.956,negative,True
122921385,Negative,0.87,negative,True
122921384,Neutral,0.858,negative,False
122921383,Positive,0.635,positive,True
122921384,Neutral,0.645,neutral,True
122921383,Positive,0.741,neutral,False
122921384,Neutral,0.65,positive,False
122921384,Neutral,0.533,positive,False
122921385,Negative,0.786,negative,True
122921385,Negative,0.809,negative,True
122921385,Negative,0.748,negative,True
122921384,Neutral,0.805,neutral,True
122921385,Negative,0.958,negative,True
122921385,Negative,0.971,negative,True
122921384,Neutral,0.599,neutral,True
122921384,Neutral,0.88,neutral,True
122921384,Neutral,0.581,negative,False
122921383,Positive,0.601,positive,True
122921385,Negative,0.758,negative,True
122921384,Neutral,0.728,neutral,True
122921384,Neutral,0.493,neutral,True
122921385,Negative,0.931,negative,True
122921384,Neutral,0.698,negative,False
