tag id,prediction,confidence,actual,correct
122921383,Positive,0.997,positive,True
122921385,Negative,0.755,negative,True
122921384,Neutral,0.642,negative,False
122921384,Neutral,0.771,negative,False
122921384,Neutral,0.528,negative,False
122921384,Neutral,0.593,negative,False
122921383,Positive,0.949,positive,True
122921385,Negative,0.944,negative,True
122921385,Negative,0.691,negative,True
122921384,Neutral,0.752,neutral,True
122921385,Negative,0.625,negative,True
122921385,Negative,0.766,negative,True
122921384,Neutral,0.681,negative,False
122921384,Neutral,0.765,positive,False
122921384,Neutral,0.744,negative,False
122921384,Neutral,0.614,negative,False
122921385,Negative,0.891,negative,True
122921384,Neutral,0.654,negative,False
122921385,Negative,0.98,negative,True
122921384,Neutral,0.574,neutral,True
122921383,Positive,0.893,positive,True
122921384,Neutral,0.803,neutral,True
122921384,Neutral,0.837,neutral,True
122921385,Negative,0.907,negative,True
122921383,Positive,0.941,positive,True
122921385,Negative,0.938,negative,True
122921384,Neutral,0.79,positive,False
122921385,Negative,0.379,neutral,False
122921385,Negative,0.529,neutral,False
122921385,Negative,0.92,negative,True
122921383,Positive,0.727,positive,True
122921384,Neutral,0.88,negative,False
122921385,Negative,0.919,negative,True
122921384,Neutral,0.597,neutral,True
122921383,Positive,0.775,positive,True
122921385,Negative,0.982,negative,True
122921385,Negative,0.845,negative,True
122921385,Negative,0.905,negative,True
122921385,Negative,0.804,negative,True
122921385,Negative,0.532,neutral,False
122921385,Negative,0.822,negative,True
122921385,Negative,0.731,negative,True
122921384,Neutral,0.53,negative,False
122921384,Neutral,0.783,neutral,True
122921385,Negative,0.931,negative,True
122921385,Negative,0.992,negative,True
122921384,Neutral,0.526,negative,False
122921385,Negative,0.59,negative,True
122921385,Negative,0.793,negative,True
122921383,Positive,0.538,neutral,False
122921385,Negative,0.934,negative,True
122921385,Negative,0.741,negative,True
122921385,Negative,0.895,negative,True
122921385,Negative,0.998,negative,True
122921385,Negative,0.52,negative,True
122921385,Negative,0.783,negative,True
122921385,Negative,0.957,negative,True
122921385,Negative,0.815,negative,True
122921385,Negative,0.998,negative,True
122921385,Negative,0.557,negative,True
122921385,Negative,0.817,negative,True
122921385,Negative,0.958,negative,True
122921384,Neutral,0.534,neutral,True
122921385,Negative,0.664,negative,True
122921385,Negative,0.93,negative,True
122921385,Negative,0.824,negative,True
122921384,Neutral,0.638,negative,False
122921383,Positive,0.859,positive,True
122921384,Neutral,0.755,neutral,True
